Paper #,Year,Paper Title,Journal,Authors,Focus of the Paper,Models Used,Methodology Used,Limitation or Gap,Real-time Evacuation -considered,Wildfire spread Model -developed,Community Aspect -considered,Interaction with other infrastructure failure- considered,Generalization,Future Direction,link,Note,Keyword
1,2025,"Assessing telecommunication vulnerabilities to wildfire in
Alberta, Canada",International Journal of Disaster Risk Reduction,"Carter S. Kuiper *
, Jennifer L. Beverly",The paper focuses on the vulnerability of the mobile towers due to wildfire,"This uses a static model which determines which mobile tower is on the way of multiple fires with historical burn probability on ArcGIS
The study uses wildfire exposure datasets that quantify the likelihood or intensity of wildfire across the region. These exposure layers represent potential fire risk across Alberta’s Forest Protection Area (FPA).

Typical wildfire exposure layers used in such studies usually include:

Burn probability

Fire intensity potential

Historical fire occurrence

Fuel load / vegetation

Topography and weather conditions

These are precomputed wildfire risk layers, not a new predictive model built in the paper.",This is an analysis which is based on the ArCGIS overlay of burn probability scraped from satellite imagery ,"The paper mainly performs static vulnerability analysis, meaning:

wildfire risk + telecom infrastructure ? risk mapping

But it does not integrate:

1. wildfire progression
2. human evacuation behavior
3. transportation network dynamics

5. real-time decision systems",No,No,No,No,It is based on a  small area and limited towers of Canada which lacks generalized insights,,https://www.sciencedirect.com/science/article/pii/S2212420925005850?casa_token=2PP8Eo1jGSkAAAAA:iRizkCnj5mRNGzTKFjwGxwOnQHfmClLObWcdQIEFzY8k7ULRouzIRM4jE0y9QqFLK76R4PdSHX4,,tele- communication failure in wildfire
2,2020,Five Alarms: Assessing the Vulnerability of USCellular Communication Infrastructure to Wildfires,2020 Association for Computing Machinery,Scott Andersonstanderson4@wisc.eduUniversity of Wisconsin—MadisonCarol Barfordcarol.barford@wisc.eduUniversity of Wisconsin—MadisonPaul Barfordpb@cs.wisc.eduUniversity of Wisconsin—Madison,The paper focuses on modeling the potential risk on telecom due to hazard of wildfire,"1. Wildfire Hazard Potential (WHP) Model (Primary Risk Model)

This is the main wildfire risk prediction model used in the paper.

WHP = Wildfire Hazard Potential dataset (US Forest Service)

It estimates:

Probability of wildfire occurrence, Potential fire intensity, and Fuel + topography + weather effects

?? The paper explicitly uses WHP to:

classify regions into Moderate / High / Very High wildfire risk

identify infrastructure exposed to future wildfire risk
2. . Historical Wildfire Data (Validation + Exposure Model)

Uses 18 years of historical wildfire perimeters

Purpose: Understand actual fire exposure and Validate risk prediction
?? Example:

They compare cell towers inside past fire perimeters and then eventually overlaying the telecom layer. Also, this model projects the climate change and risk of wildfire","This is a static analysis method ,ike the previous paper where the wildfire propensity is modeled based on the historical fire risk ","It does not consider:
1. any dynamic modeling technique like ML or DL to predict future
2. It does not consider the real-time evacuation aspect
3. It does not consider the wildfire spread modeling
",No,No,No,Yes,Yes,,https://dl.acm.org/doi/epdf/10.1145/3419394.3423663,4. It considers the intercation with Power Outage ,tele- communication failure in wildfire
3,2017,"Three Factors Leading to Failed
Communications in Emergency Situations",MBA thesis Proquest,James E. Burroughs ,"1. Understanding why communication fails among first responders (firefighters, police) during emergencies such as wildfires.
2. Emphasis on communication interoperability
3. Examines barriers in real emergency situations
","(a) Grebner’s Communication Model

Focus: how messages are perceived and interpreted

Issues:
1. context loss
2. selective perception
(b) Shannon–Weaver Information Theory

Focus: signal transmission

Key concept:
1.“Noise” disrupts communication","Data Collection:

Semi-structured interviews

Sample:

18 experienced first responders

From:

California

New York

Texas

Analysis Method:

Thematic analysis

Deductive coding","This paper does NOT include:
1.  Wildfire spread models
2.  Risk prediction models (WHP, ML, etc.)
3. GIS spatial analysis
4. Evacuation modeling
5.  Real-time systems",No,No,No,No,No,,https://www.proquest.com/openview/9d6a3e8e000a87179d3d842f0d7a7da2/1?pq-origsite=gscholar&cbl=18750,,tele- communication failure in wildfire
4,2024,"Perspective Chapter: Mobile
Radio Emergency Communications
for Large-Scale Wildfire
Fighting – Portugal as a Case Study","Fire Safety Engineering – Measures, Policies, and Applications",Carlos Salema and Rafael Caldeirinha,Designing and improving the resilience of telecommunication systems used in wildfire emergency response.,"1. Single Point of Failure Analysis: Identifies weak components: e.g., fiber cables on wooden poles
?? failure ? complete network disruption

2. Redundancy Modeling: Types like transmission redundancy (alternate paths), geographic redundancy and power redundancy
?? Example: microwave links with 1+1 redundancy (hot standby)

3. Backhaul Network Modeling
Evaluates:fiber vs microwave links and reliability under wildfire conditions

4. Resilience Metrics: Uses concepts like: MTBF (Mean Time Between Failures)and MTTR (Mean Time To Repair)

5. Real-Time Monitoring Systems
Suggests: dashboards for live network status and adaptive communication management","1. Failure Analysis

Identifies:
a. power failures
b. transmission failures
c. backhaul disruptions

2. System Architecture Evaluation

Studies:
a. base stations
b. microwave links
c. backhaul systems

3. Simulation / Feasibility Analysis: Example:microwave link coverage and connectivity and link distance feasibility (up to 20–50 km)
","This paper does NOT include:

1.  Wildfire spread modeling
2. Fire risk prediction (WHP, ML, etc.)
3. GIS wildfire exposure analysis
4.  Evacuation modeling
5.  Human behavior modeling",No,No,No,No,No,,https://www.intechopen.com/chapters/1196009,,tele- communication failure in wildfire
5,2015,"Vegetation Clearance Distances to Prevent Wildland Fire
Caused Damage to Telecommunication and Power
Transmission Infrastructure",USDA Forest Service Proceedings RMRS-P-73. 2015,"B.W. Butler, U.S. Forest Service, Rocky Mountain Research Station,Monte Vista, Colorado; J. Hogge, Brigham Young
 T. Wallace",Quantifying safe vegetation clearance distances to prevent wildfire-induced thermal damage to telecom and power infrastructure.,"1. Fire Dynamics Simulator (FDS) – USFS Approach

Simulates:

fire heat flux

flame behavior

thermal exposure

Models:

grass fires

brush fires

crown fires

?? Computes:

temperature impact on:

steel

wood

aluminum

fiberglass","Infrastructure Failure Risk =
    f (Fire Intensity,
       Exposure Duration,
       Material Properties,
       Distance from Vegetation)","This paper does NOT include:

1.  Wildfire spread modeling
2. Fire risk prediction (WHP, ML, etc.)
3. GIS wildfire exposure analysis
4.  Evacuation modeling
5.  Human behavior modeling",No,No,No,No,No,,https://www.fs.usda.gov/rm/pubs/rmrs_p073/rmrs_p073_035_040.pdf,,tele- communication failure in wildfire
6,2026,"Rating telecommunication towers by social importance and physical
vulnerability to wildfire",EGU Sphere,"Carter S. Kuiper1
, Jen L. Beverly1","Developing a framework to prioritize telecommunication towers based on both wildfire vulnerability and societal importance.

Key idea:
1.Risk is not only physical exposure, but also:
2.how important the tower is for society
3.how much disruption it causes if it fails","Tower Risk =
    f (Wildfire Exposure,
       Fire Pathways,
       Slope,
       Suppression Access,
       Network Redundancy,
       Population Coverage)","1. Developing a framework to prioritize telecommunication towers based on both wildfire vulnerability and societal importance.
Key idea:
a. Risk is not only physical exposure, but also:
b. how important the tower is for society
c. how much disruption it causes if it fails
2. Physical Vulnerability Assessment
Includes:
a. wildfire exposure
b. directional fire pathways
c. slope (fire intensity influence)
d. suppression capability
3. Societal Importance Assessment
Includes:
a. network redundancy
b.coverage of populated areas
c.proximity to transportation networks
 4. Index Construction (SIPV Index)
SIPV = Social Importance + Physical Vulnerability
1. Combines multiple indicators into a single score
Used to classify towers:
1. low / moderate / high / critical
?? Identifies high-risk + high-impact towers","1. Equal weighting of variables may not reflect real interactions
2. Limited field validation (needs on-site verification)
3. Does not include broader socioeconomic or infrastructure variables
4.Static framework (no temporal wildfire dynamics)
5.No network-level cascading failure modeling
6. Regional focus (Alberta ? limited generalization)",No,No,No,No,No,,https://egusphere.copernicus.org/preprints/2026/egusphere-2026-276/egusphere-2026-276.pdf,,tele- communication failure in wildfire
7,2025,Generative AI as a Pillar for Predicting 2D and 3D Wildfire Spread,Fire,Xu et al.,Systematic review of generative AI for wildfire modeling,"mentioned traditional machine learning, physics based models, DNN, GRU gated RNN, VAE, GAN, Transformer, Diffusion (theoretical integration)",Structured literature review + LLM-assisted taxonomy extraction + theoretical modeling framework,Limited empirical wildfire generative implementations,,,,,,Unified multimodal 2D–3D wildfire generative framework,https://www.mdpi.com/2571-6255/8/8/293,"1. I read this paper as it is cumulation of all the ML vs Gen AI-based fire modeling
2. It gives a good idea about how the physics-based and AI models can be integrated 
{Generative AI can operate over localized burning fronts
It learns spatial–temporal transitions guided by physics-based outputs
Environmental covariates are embedded in latent space or attention layers
This provides computational efficiency while preserving physical realism}",wildfire Spread Model
8,2024,TGAN for Canadian Crown Fire Classification,Ecological Informatics,Sadegh et al.,"Multi-class wildfire behavior classification of the fire- surface fire vs. crown fire and further surface, passive crown, active crown","TGAN, TabPFN, Random Forest, XGBoost",GAN-based dataset balancing + ML classification,No dynamic fire spread simulation,,,,,,Integrate GAN with spatial fire progression models,https://www.sciencedirect.com/science/article/pii/S157495412400253X,"1. This is unique cause Tabular GAN is used for data multicplication to mitigate class imbalance 
2. TabPFN AutoML model has been used",wildfire Spread Model
9,2024,A generative model for surrogates of spatial-temporal wildfire nowcasting,"Emerg. Top.
Comput. Intell.",Cheng et al.,Accelerated high-fidelity 3D wildfire scenario generation,"Vector-Quantized VAE (VQ-VAE), POD-LSTM surrogate",Trained VQ-VAE on CA simulations; generated synthetic sequences and compared the same,Dependent on CA training data,,,,,,Replace physics simulators with generative surrogate frameworks,https://ieeexplore.ieee.org/document/10210124,MODIS 4 hours data and thermal band is combined to get the data,wildfire Spread Model
10,2024,Wildfire spread prediction in North America using satellite imagery and vision transformer.,"2024 IEEE Conference on Artificial Intelligence (CAI),",Li & Rad et al.,Next-day wildfire spread forecasting,"Swin Transformer, U-Net, Spatial Attention, Focal Modulation",Transformer-based spatial forecasting using remote sensing data,Deterministic output; high GPU requirement,,,,,,Probabilistic transformer wildfire forecasting,https://ieeexplore.ieee.org/document/10605329,Attention Swin U-net with Focal Modulation (ASUFM) which is a very effective algorithm,wildfire Spread Model
